ticker,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,pnl_pct,days_held,regime,weight
AAPL,2023-07-05,2023-07-06,189.05,189.14,8.7499,0.7875,0.000476,1,Bull-Trending,0.1654
AAPL,2023-07-11,2023-07-31,185.84,193.72,2.5464,20.0656,0.042402,20,Bull-Trending,0.0473
AAPL,2023-08-15,2023-08-23,175.57,178.84,5.7019,18.6452,0.018625,8,Bear-Trending,0.1
AAPL,2023-08-24,2024-01-22,174.51,191.7,5.7503,98.8477,0.098504,151,Bear-Trending,0.1
AAPL,2024-01-29,2024-06-04,189.95,192.67,1.449,3.9413,0.01432,127,Bull-Trending,0.027
AAPL,2024-06-11,2024-07-12,205.77,228.54,12.1784,277.3022,0.110658,31,Bull-Trending,0.2402
AAPL,2024-09-16,2024-10-28,215.12,231.64,4.9257,81.3726,0.076794,42,Bull-Trending,0.1
AAPL,2024-10-30,2024-12-12,228.83,246.37,23.2659,408.0839,0.076651,43,Bull-Trending,0.5
AAPL,2024-12-16,2024-12-20,249.93,252.85,16.4384,48.0001,0.011683,4,Bull-Trending,0.379
AAPL,2024-12-30,2025-01-07,251.08,240.65,11.9702,-124.8492,-0.041541,8,Bear-Trending,0.2761
AAPL,2025-01-16,2025-02-13,227.25,240.24,4.8122,62.5105,0.057162,28,Bear-Trending,0.1
AAPL,2025-02-20,2025-02-28,245.01,240.55,23.1275,-103.1486,-0.018203,8,Bull-Trending,0.516
AAPL,2025-03-12,2025-03-25,216.25,222.56,25.3337,159.8556,0.029179,13,Bear-Trending,0.5
MSFT,2023-07-10,2023-07-21,325.19,336.21,2.1177,23.3371,0.033888,11,Bull-Trending,0.0689
MSFT,2023-08-17,2023-08-21,311.19,315.47,3.2152,13.7611,0.013754,4,Bear-Trending,0.1
MSFT,2023-08-23,2023-11-02,321.13,341.39,3.121,63.2315,0.06309,71,Bear-Trending,0.1
MSFT,2023-11-21,2023-11-24,367.12,370.67,6.7179,23.8485,0.00967,3,Bull-Trending,0.2445
MSFT,2023-12-01,2024-01-30,368.54,401.27,2.7375,89.5984,0.08881,60,Bull-Trending,0.1
MSFT,2024-01-31,2024-02-07,391.24,406.63,7.1644,110.2601,0.039336,7,Bull-Trending,0.2747
MSFT,2024-02-27,2024-03-21,401.72,422.46,2.5466,52.8165,0.051628,23,Bull-Trending,0.0993
MSFT,2024-03-22,2024-03-25,422.68,416.05,7.9067,-52.4214,-0.015686,3,Bull-Trending,0.3225
MSFT,2024-04-03,2024-04-12,414.51,415.11,17.295,10.377,0.001447,9,Bull-Trending,0.6917
MSFT,2024-04-19,2024-06-12,393.48,434.74,2.6287,108.4602,0.104859,54,Bear-Trending,0.1
MSFT,2024-06-28,2024-07-05,441.43,460.86,2.3722,46.0918,0.044016,7,Bull-Trending,0.1
MSFT,2024-08-06,2024-08-13,394.67,408.08,3.5393,47.462,0.033978,7,Bear-Trending,0.1324
MSFT,2024-09-04,2024-09-11,404.58,417.73,4.9712,65.3713,0.032503,7,Bull-Trending,0.1901
MSFT,2024-09-23,2024-12-09,428.93,441.3,12.2474,151.5003,0.028839,77,Bull-Trending,0.4947
NVDA,2023-07-05,2023-07-13,42.33,45.9,35.6782,127.3712,0.084337,8,Bull-Trending,0.151
NVDA,2023-07-20,2023-08-03,45.53,44.44,72.2565,-78.7596,-0.02394,14,Bull-Trending,0.3284
NVDA,2023-08-14,2023-10-06,43.76,45.68,51.4904,98.8616,0.043876,53,Bull-Trending,0.2251
NVDA,2023-10-09,2023-10-10,45.29,45.72,115.3881,49.6169,0.009494,1,Bear-Trending,0.5206
NVDA,2023-10-13,2023-11-10,45.47,48.25,54.5579,151.671,0.061139,28,Bear-Trending,0.247
NVDA,2023-11-30,2023-12-18,46.78,50.0,21.5704,69.4567,0.068833,18,Bull-Trending,0.1
NVDA,2023-12-20,2023-12-22,48.13,48.75,7.1961,4.4616,0.012882,2,Bull-Trending,0.0342
NVDA,2024-01-02,2024-03-22,48.19,94.14,52.3021,2403.2815,0.953517,80,Bull-Trending,0.249
NVDA,2024-03-28,2024-04-10,90.4,86.9,44.1131,-154.3958,-0.038717,13,Bull-Trending,0.3843
NVDA,2024-04-19,2024-05-07,76.23,90.41,13.5681,192.3957,0.186016,18,Bear-Trending,0.1
NVDA,2024-05-17,2024-06-28,92.52,123.36,11.2329,346.4226,0.333333,42,Bull-Trending,0.1
NVDA,2024-07-05,2024-07-15,125.9,128.25,2.5214,5.9253,0.018666,10,Bull-Trending,0.0302
NVDA,2024-07-25,2024-08-28,112.34,125.42,1.0049,13.1441,0.116432,34,Bear-Trending,0.0107
NVDA,2024-09-18,2024-10-10,113.44,134.62,9.3369,197.7555,0.186707,22,Bull-Trending,0.1
NVDA,2024-10-15,2024-10-21,131.68,143.51,20.7812,245.8416,0.089839,6,Bull-Trending,0.2583
NVDA,2024-10-31,2024-11-06,132.84,145.41,29.9644,376.6525,0.094625,6,Bull-Trending,0.3739
NVDA,2024-11-15,2024-12-04,142.07,144.94,8.607,24.7021,0.020201,19,Bull-Trending,0.1143
NVDA,2024-12-06,2024-12-20,142.54,134.52,5.1013,-40.9124,-0.056265,14,Bull-Trending,0.0674
NVDA,2025-01-27,2025-01-29,118.5,123.54,18.192,91.6877,0.042532,2,Bull-Trending,0.1972
NVDA,2025-01-31,2025-02-07,120.15,129.67,1.2824,12.2084,0.079234,7,Bull-Trending,0.0141
NVDA,2025-03-21,2025-03-24,117.79,121.26,46.4856,161.305,0.029459,3,Bear-Trending,0.5
QQQ,2023-07-21,2023-07-28,369.96,376.94,5.7263,39.9696,0.018867,7,Bull-Trending,0.2115
QQQ,2023-08-17,2023-11-03,353.17,361.96,2.8331,24.9029,0.024889,78,Bear-Trending,0.1
QQQ,2023-11-13,2023-11-22,372.05,383.96,1.8116,21.5762,0.032012,9,Bull-Trending,0.0669
QQQ,2023-11-24,2023-12-19,384.18,403.56,9.2557,179.3755,0.050445,25,Bull-Trending,0.3525
QQQ,2023-12-20,2023-12-21,398.36,402.19,8.4731,32.452,0.009614,1,Bull-Trending,0.3333
QQQ,2024-01-02,2024-01-25,398.09,420.74,11.4693,259.7796,0.056897,23,Bull-Trending,0.451
QQQ,2024-01-31,2024-02-13,412.31,422.91,2.475,26.235,0.025709,13,Bull-Trending,0.1
QQQ,2024-02-23,2024-03-21,431.9,440.59,3.4859,30.2925,0.02012,27,Bull-Trending,0.1461
QQQ,2024-04-19,2024-05-15,410.56,447.53,2.5194,93.1422,0.090048,26,Bear-Trending,0.1
QQQ,2024-05-17,2024-05-20,447.3,449.52,8.2702,18.3598,0.004963,3,Bull-Trending,0.356
QQQ,2024-05-23,2024-05-24,449.18,452.52,6.4788,21.6392,0.007436,1,Bull-Trending,0.2798
QQQ,2024-05-29,2024-06-18,451.93,479.46,5.3844,148.2325,0.060917,20,Bull-Trending,0.2335
QQQ,2024-06-21,2024-07-08,475.44,492.23,8.542,143.4202,0.035315,17,Bull-Trending,0.3881
QQQ,2024-08-06,2024-08-22,435.88,469.97,2.7097,92.3737,0.07821,16,Bear-Trending,0.1119
QQQ,2024-10-03,2024-10-17,478.26,486.88,7.292,62.857,0.018024,14,Bull-Trending,0.3284
QQQ,2024-11-01,2024-11-11,484.06,509.27,0.3085,7.7773,0.05208,10,Bull-Trending,0.0141
QQQ,2024-11-27,2024-12-24,501.81,526.1,3.7838,91.9085,0.048405,27,Bull-Trending,0.177
QQQ,2025-02-03,2025-02-04,515.36,520.65,13.4129,70.9542,0.010265,1,Bull-Trending,0.6314
TSLA,2023-08-15,2023-10-04,233.19,260.9,4.2929,118.9563,0.11883,50,Bear-Trending,0.1
TSLA,2023-10-26,2024-05-30,205.97,178.61,4.8635,-133.0654,-0.132835,217,Bear-Trending,0.1
TSLA,2024-06-05,2024-07-10,175.17,263.0,4.7227,414.7947,0.501399,35,Bull-Trending,0.0794
TSLA,2024-07-11,2024-07-12,241.27,247.98,13.111,87.9748,0.027811,1,Bull-Trending,0.3
TSLA,2024-07-24,2024-07-25,216.21,220.03,16.244,62.0521,0.017668,1,Bull-Trending,0.333
TSLA,2024-08-07,2024-08-16,191.95,215.9,5.2779,126.4057,0.124772,9,Bear-Trending,0.096
TSLA,2024-09-09,2024-09-10,216.49,225.94,12.3038,116.2709,0.043651,1,Bear-Trending,0.2519
TSLA,2024-09-12,2024-10-14,230.04,218.94,19.0361,-211.3007,-0.048252,32,Bull-Trending,0.4133
TSLA,2024-10-17,2024-12-17,221.11,479.38,5.0729,1310.1779,1.168061,61,Bull-Trending,0.1059
TSLA,2024-12-19,2024-12-24,436.61,461.82,9.5054,239.6311,0.05774,5,Bear-Trending,0.3826
TSLA,2025-01-02,2025-01-15,379.66,427.79,12.9627,623.8948,0.126771,13,Bear-Trending,0.4522
TSLA,2025-02-12,2025-02-14,336.85,355.48,13.9215,259.3575,0.055307,2,Bull-Trending,0.4281
TSLA,2025-03-07,2025-03-24,262.93,278.11,4.1724,63.337,0.057734,17,Bear-Trending,0.1
